epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,56.3253,0.97595,0.99328,0.89441,0.96841,0.91875,0.96112,0.73119,0.84734,0.72159,0.88912,0.000932603,0.000932603,0.000932603
91,56.9125,0.93502,0.95652,0.89645,0.9666,0.9109,0.97346,0.73459,0.83329,0.70809,0.88673,0.000924352,0.000924352,0.000924352
92,57.52,0.95456,0.97537,0.93382,0.9504,0.91875,0.97991,0.74728,0.82631,0.70885,0.88639,0.0009161,0.0009161,0.0009161
93,58.0894,0.82882,0.90183,0.89422,0.9504,0.91875,0.97991,0.74728,0.82631,0.70885,0.88639,0.000907848,0.000907848,0.000907848
94,58.7121,0.97355,0.9599,0.89449,0.93186,0.94975,0.97769,0.72092,0.83254,0.7121,0.89083,0.000899597,0.000899597,0.000899597
95,59.2915,0.96458,0.94294,0.90252,0.9896,0.93132,0.98043,0.71664,0.87415,0.69586,0.90049,0.000891345,0.000891345,0.000891345
96,59.8897,0.9717,0.92387,0.92346,0.94732,0.95302,0.982,0.74472,0.86128,0.66756,0.89499,0.000883093,0.000883093,0.000883093
97,60.4491,0.87731,0.90525,0.94634,0.94732,0.95302,0.982,0.74472,0.86128,0.66756,0.89499,0.000874842,0.000874842,0.000874842
98,61.1194,0.83292,0.87947,0.8835,0.97552,0.93444,0.9844,0.76171,0.83157,0.65325,0.88911,0.00086659,0.00086659,0.00086659
99,61.671,1.04346,0.98143,0.88373,0.96928,0.91146,0.97855,0.75598,0.84186,0.64979,0.88851,0.000858338,0.000858338,0.000858338
100,62.207,0.9288,0.96658,0.89046,0.93826,0.93788,0.97894,0.75661,0.85904,0.65715,0.88879,0.000850087,0.000850087,0.000850087
101,62.746,1.06241,0.96861,0.92202,0.93826,0.93788,0.97894,0.75661,0.85904,0.65715,0.88879,0.000841835,0.000841835,0.000841835
102,63.3113,0.9516,0.87826,0.90095,0.97539,0.93582,0.98038,0.74885,0.87922,0.65505,0.89057,0.000833583,0.000833583,0.000833583
103,63.8745,0.94434,1.00043,0.89231,0.99135,0.91573,0.97993,0.73046,0.91407,0.67367,0.89405,0.000825332,0.000825332,0.000825332
104,64.4476,0.90111,0.87198,0.91231,0.97029,0.90867,0.97735,0.75019,0.88859,0.68753,0.88787,0.00081708,0.00081708,0.00081708
105,64.9873,0.75243,0.84508,0.86661,0.97029,0.90867,0.97735,0.75019,0.88859,0.68753,0.88787,0.000808828,0.000808828,0.000808828
106,65.5383,1.01287,0.90072,0.89655,0.97417,0.90079,0.97747,0.77251,0.83813,0.6835,0.87821,0.000800577,0.000800577,0.000800577
107,66.1027,0.87497,0.81635,0.87499,0.99434,0.90165,0.98416,0.79596,0.787,0.64587,0.86919,0.000792325,0.000792325,0.000792325
108,66.6485,0.8184,0.79757,0.85898,0.98005,0.94908,0.98868,0.80444,0.77019,0.62871,0.86262,0.000784073,0.000784073,0.000784073
109,67.1935,0.9464,0.85862,0.87108,0.98005,0.94908,0.98868,0.80444,0.77019,0.62871,0.86262,0.000775822,0.000775822,0.000775822
110,67.7601,0.80413,0.79397,0.8586,0.96962,0.95836,0.99075,0.8093,0.76467,0.6231,0.86247,0.00076757,0.00076757,0.00076757
111,68.3358,0.89678,0.85017,0.87819,0.99165,0.97136,0.9925,0.80184,0.76492,0.61388,0.86327,0.000759318,0.000759318,0.000759318
112,68.9544,0.82071,0.77188,0.84444,0.99164,0.97313,0.99249,0.79197,0.7626,0.60288,0.86307,0.000751067,0.000751067,0.000751067
113,69.5354,0.8433,0.87511,0.86474,0.99164,0.97313,0.99249,0.79197,0.7626,0.60288,0.86307,0.000742815,0.000742815,0.000742815
114,70.1284,0.93495,0.83593,0.88877,0.93737,0.98188,0.99085,0.78993,0.76696,0.60598,0.86481,0.000734564,0.000734564,0.000734564
115,70.7282,0.87076,0.83585,0.88225,0.97221,0.94894,0.98987,0.79849,0.77255,0.60576,0.86643,0.000726312,0.000726312,0.000726312
116,71.3132,0.87306,0.79442,0.88637,0.96879,0.94999,0.99032,0.78396,0.7752,0.60709,0.86771,0.00071806,0.00071806,0.00071806
117,71.9711,0.82595,0.80383,0.85361,0.96879,0.94999,0.99032,0.78396,0.7752,0.60709,0.86771,0.000709809,0.000709809,0.000709809
118,72.577,0.80431,0.89901,0.88923,0.95138,0.96808,0.98967,0.79417,0.76698,0.60419,0.86398,0.000701557,0.000701557,0.000701557
119,73.1842,0.81637,0.81184,0.8727,0.96961,0.95036,0.99074,0.80654,0.77215,0.59061,0.86155,0.000693305,0.000693305,0.000693305
120,73.7788,0.84756,0.84326,0.89152,0.95509,0.95409,0.99036,0.80622,0.78589,0.58648,0.86371,0.000685054,0.000685054,0.000685054
121,74.3275,0.98771,0.879,0.87856,0.95509,0.95409,0.99036,0.80622,0.78589,0.58648,0.86371,0.000676802,0.000676802,0.000676802
122,74.9116,0.89977,0.83933,0.86837,0.96389,0.94375,0.98847,0.79593,0.77174,0.58705,0.86225,0.00066855,0.00066855,0.00066855
123,75.516,0.9383,0.86066,0.89266,0.95476,0.95208,0.98794,0.79904,0.73883,0.58155,0.8565,0.000660299,0.000660299,0.000660299
124,76.1312,0.85702,0.7949,0.86092,0.96451,0.95461,0.98695,0.7879,0.74049,0.58208,0.85861,0.000652047,0.000652047,0.000652047
125,76.6767,0.73798,0.77164,0.85482,0.96451,0.95461,0.98695,0.7879,0.74049,0.58208,0.85861,0.000643795,0.000643795,0.000643795
126,77.258,0.75796,0.73803,0.85754,0.96653,0.94823,0.98727,0.78672,0.74661,0.57627,0.85792,0.000635544,0.000635544,0.000635544
127,77.8191,0.81491,0.75938,0.85708,0.96811,0.95208,0.98741,0.79089,0.74351,0.57575,0.85712,0.000627292,0.000627292,0.000627292
128,78.4398,0.8727,0.79843,0.89085,0.96991,0.95013,0.98813,0.79195,0.7353,0.57981,0.85597,0.00061904,0.00061904,0.00061904
129,79.0239,0.78328,0.75014,0.8822,0.96991,0.95013,0.98813,0.79195,0.7353,0.57981,0.85597,0.000610789,0.000610789,0.000610789
130,79.6236,0.76162,0.76401,0.86911,0.96886,0.9429,0.98867,0.78675,0.7315,0.58323,0.85336,0.000602537,0.000602537,0.000602537
131,80.2535,0.82131,0.76304,0.87618,0.9463,0.97148,0.99097,0.79741,0.71933,0.58431,0.85047,0.000594286,0.000594286,0.000594286
132,80.8636,0.75193,0.81217,0.87183,0.9839,0.96197,0.99161,0.80605,0.71755,0.58733,0.84847,0.000586034,0.000586034,0.000586034
133,81.4381,0.78667,0.75291,0.86296,0.9839,0.96197,0.99161,0.80605,0.71755,0.58733,0.84847,0.000577782,0.000577782,0.000577782
134,82.0541,0.73215,0.77161,0.84293,0.9687,0.97642,0.99132,0.80105,0.72782,0.60075,0.84807,0.000569531,0.000569531,0.000569531
135,82.6476,0.73619,0.74627,0.87736,0.96596,0.97322,0.98909,0.8062,0.72785,0.61232,0.84839,0.000561279,0.000561279,0.000561279
136,83.2206,0.75082,0.75037,0.85984,0.97392,0.96734,0.99038,0.81563,0.70515,0.5986,0.84622,0.000553027,0.000553027,0.000553027
137,83.9096,0.77569,0.7917,0.86815,0.97392,0.96734,0.99038,0.81563,0.70515,0.5986,0.84622,0.000544776,0.000544776,0.000544776
138,84.4895,0.81554,0.75474,0.87172,0.97203,0.97946,0.98796,0.81555,0.69304,0.57996,0.84696,0.000536524,0.000536524,0.000536524
139,85.0881,0.92337,0.8549,0.88657,0.98278,0.97411,0.98953,0.81153,0.68315,0.55535,0.84698,0.000528272,0.000528272,0.000528272
140,85.6677,0.76015,0.76573,0.88768,0.98093,0.95155,0.99028,0.81363,0.6831,0.55339,0.84643,0.000520021,0.000520021,0.000520021
141,86.2545,0.74502,0.69391,0.87145,0.98093,0.95155,0.99028,0.81363,0.6831,0.55339,0.84643,0.000511769,0.000511769,0.000511769
142,86.8283,0.74363,0.84169,0.8592,0.94854,0.98333,0.9906,0.82266,0.67367,0.55521,0.84278,0.000503517,0.000503517,0.000503517
143,87.4093,0.81901,0.752,0.84674,0.97202,0.9775,0.99254,0.80982,0.67667,0.54839,0.84102,0.000495266,0.000495266,0.000495266
144,87.9751,0.83902,0.76466,0.8501,0.99151,0.96567,0.99414,0.81334,0.66883,0.54247,0.84139,0.000487014,0.000487014,0.000487014
